1 w21_4952_lopenr_person 0 0 NA NA NA NA NA NA NA NA
2 w21_4952_lopenr_orgnr 0 0 NA NA NA NA NA NA NA NA
3 skolear 0 0 20032004 20192020 20114183.87 20112012 2328095520.18 48250.34 -0.05 -1.15
4 videregaendepoeng 3749489 11.13 0 97.1 35.56 38 176.73 13.29 -1.14 1.11
5 fagkode 0 0 1999 NA NA NA 1449546811.6 38072.91 NA NA
6 mun 0 0 NA NA NA NA 1.95 1.4 NA NA
7 skr 0 0 NA NA NA NA 1.63 1.28 NA NA
8 stp 0 0 NA NA NA NA 1.54 1.24 NA NA
9 termin1 0 0 NA NA NA NA 1.39 1.18 NA NA
10 termin2 0 0 NA NA NA NA 1.22 1.1 NA NA
11 kar_annen 0 0 NA NA NA NA 1.73 1.31 NA NA
12 fagstatus 0 0 NA NA NA NA NA NA NA NA
